Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12347,2,8,4921.53,5,4,5,Champions
12348,75,5,2019.4,3,3,4,Loyal Customers
12349,19,5,4404.54,4,3,5,Loyal Customers
12350,310,1,334.4,2,1,2,Lost
12351,375,1,300.93,2,1,2,Lost
12352,36,13,1889.21,4,5,4,Champions
12353,204,2,406.76,2,2,2,Lost
12354,232,1,1079.4,2,1,3,Cannot Lose Them
12355,214,2,947.61,2,2,3,Cannot Lose Them
12356,23,6,6371.73,4,4,5,Champions
12357,33,3,18287.66,4,2,5,New Promising
12358,2,5,3887.07,5,3,5,Loyal Customers
12359,8,14,8652.34,5,5,5,Champions
12360,52,9,4212.89,4,4,5,Champions
12361,287,4,511.25,2,3,2,At Risk
12362,3,14,5284.58,5,5,5,Champions
12363,110,2,552.0,3,2,2,Others
12364,8,4,1313.1,5,3,4,Loyal Customers
12365,291,3,320.69,2,2,2,Lost
12366,634,1,500.24,1,1,2,Lost
12367,4,1,168.9,5,1,1,New Promising
12368,628,1,917.7,1,1,3,Cannot Lose Them
12369,413,3,1791.15,1,2,4,Cannot Lose Them
12370,51,7,4316.56,4,4,5,Champions
12371,45,5,4067.38,4,3,5,Loyal Customers
12372,72,3,1298.04,3,2,4,Others
12373,311,3,1127.65,2,2,3,Cannot Lose Them
12374,25,4,2989.22,4,3,5,Loyal Customers
12375,3,3,455.42,5,2,2,New Promising
12376,390,2,503.15,2,2,2,Lost
12377,315,4,3426.32,2,3,5,At Risk
12378,130,2,5416.32,3,2,5,Others
12379,82,5,1618.27,3,3,4,Loyal Customers
12380,22,15,7888.0,4,5,5,Champions
12381,5,6,1803.96,5,4,4,Champions
12383,185,6,1839.31,2,4,4,At Risk
12384,29,3,566.16,4,2,2,New Promising
12385,379,2,1923.4,2,2,4,Cannot Lose Them
12386,338,2,401.9,2,2,2,Lost
12387,415,1,143.94,1,1,1,Lost
12388,16,8,3901.11,5,4,5,Champions
12389,403,3,1433.33,2,2,4,Cannot Lose Them
12390,80,1,549.84,3,1,2,Others
12391,22,7,2699.24,4,4,4,Champions
12392,591,1,234.75,1,1,1,Lost
12393,72,7,2376.75,3,4,4,Loyal Customers
12394,64,2,1272.48,3,2,4,Others
12395,16,18,4700.82,5,5,5,Champions
12396,674,1,931.43,1,1,3,Cannot Lose Them
12397,36,2,2409.9,4,2,4,New Promising
12398,46,1,1635.66,4,1,4,New Promising
12399,119,7,1962.3,3,4,4,Loyal Customers
12400,414,1,205.25,1,1,1,Lost
12401,303,1,84.3,2,1,1,Lost
12402,323,7,1244.15,2,4,4,At Risk
12403,50,3,1001.36,4,2,3,New Promising
12404,682,1,63.24,1,1,1,Lost
12405,149,1,1710.39,3,1,4,Others
12406,22,7,6072.21,4,4,5,Champions
12407,50,5,1708.12,4,3,4,Loyal Customers
12408,33,14,4279.64,4,5,5,Champions
12409,79,13,23090.47,3,5,5,Loyal Customers
12410,301,4,1001.46,2,3,3,At Risk
12411,410,1,346.9,1,1,2,Lost
12412,75,8,2581.03,3,4,4,Loyal Customers
12413,67,6,935.5,3,4,3,Loyal Customers
12414,217,8,692.41,2,4,3,At Risk
12415,24,33,143269.29,4,5,5,Champions
12416,657,1,202.56,1,1,1,Lost
12417,3,27,6688.71,5,5,5,Champions
12418,113,5,2016.95,3,3,4,Loyal Customers
12419,386,2,503.01,2,2,2,Lost
12420,64,1,600.39,3,1,3,Others
12421,16,8,1092.83,5,4,3,Loyal Customers
12422,96,21,4119.35,3,5,5,Loyal Customers
12423,1,11,2612.19,5,5,4,Champions
12424,163,7,3289.78,3,4,5,Loyal Customers
12425,78,3,1680.81,3,2,4,Others
12426,195,3,1311.41,2,2,4,Cannot Lose Them
12427,12,5,708.37,5,3,3,Loyal Customers
12428,26,12,7877.2,4,5,5,Champions
12429,9,9,6154.01,5,4,5,Champions
12430,43,1,256.4,4,1,1,New Promising
12431,36,33,10293.66,4,5,5,Champions
12432,43,5,5059.32,4,3,5,Loyal Customers
12433,1,11,16641.74,5,5,5,Champions
12434,85,5,1062.48,3,3,3,Loyal Customers
12435,80,6,13925.93,3,4,5,Loyal Customers
12436,100,1,509.01,3,1,2,Others
12437,2,47,12394.85,5,5,5,Champions
12438,14,2,2906.85,5,2,5,New Promising
12439,683,3,1089.18,1,2,3,Cannot Lose Them
12440,457,3,768.15,1,2,3,Cannot Lose Them
12441,367,1,173.55,2,1,1,Lost
12442,3,1,172.06,5,1,1,New Promising
12443,732,1,485.31,1,1,2,Lost
12444,21,5,5005.46,4,3,5,Loyal Customers
12445,22,3,426.48,4,2,2,New Promising
12446,58,1,1002.31,3,1,3,Others
